用户数/10秒,寻呼用户比例,下行好点用户比例,下行中点用户比例,平均所有业务完成时延30,平均所有业务RRC建立时延,上行资源利用率（不包括预占资源）,下行资源利用率（不包括预占资源）,用户上行平均BSR(bit),用户下行平均BSR(bit),最佳方案/0旧1新
159,0.176100629,0.702,0.176,2876.285714,1411.454545,0.302323405,0.591308594,987.9748428,441.408805,1
159,0.176100629,0.699,0.179,4147.659574,1822.744681,0.24874471,0.568554688,987.9748428,441.408805,1
159,0.176100629,0.764,0.188,1704.972222,783.0486111,0.418684896,0.351269531,987.9748428,441.408805,0
159,0.176100629,0.764,0.187,1691.666667,676.6858974,0.426106771,0.388574219,987.9748428,441.408805,0
159,0.176100629,0.735,0.201,1834.088889,939.6962963,0.420314535,0.370019531,987.9748428,441.408805,0
159,0.176100629,0.733,0.2,1897.881944,820.1805556,0.457397461,0.4546875,987.9748428,441.408805,0
159,0.176100629,0.724,0.187,2024.732759,1077,0.438926188,0.445898438,987.9748428,441.408805,0
159,0.176100629,0.717,0.191,3185.330827,1083.37594,0.464794922,0.558203125,987.9748428,441.408805,0
175,0.177142857,0.766363636,0.199090909,1655.852564,813.3653846,0.362320964,0.285546875,986.9714286,442.7428571,0
175,0.177142857,0.765454545,0.2,1784.195402,710.637931,0.418849691,0.379296875,986.9714286,442.7428571,0
175,0.177142857,0.691818182,0.198181818,2538.707547,1199.433962,0.45581665,0.588183594,986.9714286,442.7428571,1
175,0.177142857,0.682727273,0.2,2606.541667,1108.958333,0.353918457,0.582910156,986.9714286,442.7428571,1
175,0.177142857,0.695454545,0.194545455,3479.9875,1611.6375,0.328120931,0.601074219,986.9714286,442.7428571,1
175,0.177142857,0.688181818,0.187272727,3181.034483,1511.482759,0.223667399,0.581445313,986.9714286,442.7428571,1
175,0.177142857,0.746363636,0.21,1776.245283,792.5283019,0.394281006,0.347851563,986.9714286,442.7428571,0
175,0.177142857,0.744545455,0.21,1790.508876,711.6094675,0.429736328,0.405664063,986.9714286,442.7428571,0
175,0.177142857,0.726363636,0.205454545,2069.72,1047.826667,0.41457723,0.405175781,986.9714286,442.7428571,0
175,0.177142857,0.722727273,0.204545455,2741.91716,1038.272189,0.477783203,0.548046875,986.9714286,442.7428571,0
175,0.177142857,0.71,0.2,2537.462121,1329.977273,0.463861084,0.500390625,986.9714286,442.7428571,1
175,0.177142857,0.700909091,0.199090909,3082.453125,1195.59375,0.474719238,0.593261719,986.9714286,442.7428571,1
80,0.175,0.414,0.41,2215.460526,1202.618421,0.345192464,0.24453125,992,440,0
80,0.175,0.642,0.326,926.9625,405.6375,0.165740967,0.159570313,992,440,0
80,0.175,0.566,0.31,1777.636364,895.0649351,0.325242106,0.234179688,992,440,0
80,0.175,0.414,0.41,2200.934211,1147.526316,0.349220785,0.247070313,992,440,0
80,0.175,0.642,0.326,850.275,385.6875,0.1646993,0.157128906,992,440,0
80,0.175,0.564,0.312,1736.518987,888.7848101,0.322391764,0.242089844,992,440,0
80,0.175,0.574,0.28,2612.863636,1241.181818,0.229211426,0.446972656,992,440,0
80,0.175,0.514,0.27,1921.5,1241.595238,0.344986979,0.456054688,992,440,0
80,0.175,0.564,0.278,3749.55102,1685.020408,0.222806803,0.461328125,992,440,0
80,0.175,0.506,0.28,2445.822222,899.7111111,0.29140625,0.439550781,992,440,0
80,0.175,0.374,0.352,2550.866667,1318.777778,0.397450765,0.389160156,992,440,0
80,0.175,0.366,0.348,3222.326923,1283.307692,0.396685791,0.421875,992,440,0
111,0.18018018,0.442857143,0.41,2071.74026,1148.090909,0.413120524,0.280664063,984.2162162,446.6306306,0
111,0.18018018,0.654285714,0.31,1447.518519,605.0092593,0.298510742,0.249902344,984.2162162,446.6306306,0
111,0.18018018,0.572857143,0.312857143,2375.872549,1251.480392,0.435583496,0.31015625,984.2162162,446.6306306,0
111,0.18018018,0.442857143,0.41,2184.802326,1145.209302,0.422524007,0.328320313,984.2162162,446.6306306,0
111,0.18018018,0.654285714,0.31,1357.594595,602.7387387,0.308483887,0.26875,984.2162162,446.6306306,0
111,0.18018018,0.572857143,0.312857143,2282.990291,1221.07767,0.433028158,0.329003906,984.2162162,446.6306306,0
111,0.18018018,0.597142857,0.267142857,3394.333333,1714.259259,0.347605387,0.570507813,984.2162162,446.6306306,1
111,0.18018018,0.518571429,0.288571429,2437.963636,1279,0.413439941,0.518847656,984.2162162,446.6306306,1
111,0.18018018,0.587142857,0.262857143,4075.068182,1818.136364,0.30631307,0.566503906,984.2162162,446.6306306,1
111,0.18018018,0.512857143,0.287142857,3086.191489,1274.170213,0.38168335,0.554394531,984.2162162,446.6306306,1
111,0.18018018,0.398571429,0.372857143,2298.730769,1176.519231,0.420920817,0.468066406,984.2162162,446.6306306,0
111,0.18018018,0.395714286,0.37,3145.214286,1332.285714,0.416457113,0.507324219,984.2162162,446.6306306,0
143,0.174825175,0.44,0.407777778,2204.026087,1319.686957,0.471982829,0.360351563,989.2027972,439.7762238,1
143,0.174825175,0.662222222,0.301111111,1272.198582,518.893617,0.315024821,0.291796875,989.2027972,439.7762238,0
143,0.174825175,0.575555556,0.317777778,1992.070313,1145.554688,0.478460693,0.336816406,989.2027972,439.7762238,0
143,0.174825175,0.44,0.407777778,1841.19469,990.6017699,0.468821208,0.360839844,989.2027972,439.7762238,1
143,0.174825175,0.662222222,0.301111111,1169.823944,496.9577465,0.312489827,0.296679688,989.2027972,439.7762238,0
143,0.174825175,0.575555556,0.317777778,2083.343511,1062.389313,0.482417806,0.368164063,989.2027972,439.7762238,0
143,0.174825175,0.588888889,0.275555556,3613.39726,1645.794521,0.314135742,0.590429688,989.2027972,439.7762238,1
143,0.174825175,0.515555556,0.298888889,3375.507937,1447.793651,0.408121745,0.5859375,989.2027972,439.7762238,1
143,0.174825175,0.582222222,0.273333333,4348.960784,1575.294118,0.263411458,0.590332031,989.2027972,439.7762238,1
143,0.174825175,0.508888889,0.298888889,4281.403846,1216.865385,0.354284668,0.589257813,989.2027972,439.7762238,1
143,0.174825175,0.392222222,0.372222222,2961.780488,1513.109756,0.464886475,0.558300781,989.2027972,439.7762238,1
143,0.174825175,0.387777778,0.37,4374.220779,1537.064935,0.44800415,0.578710938,989.2027972,439.7762238,1
175,0.177142857,0.434545455,0.413636364,1653.136364,835.7818182,0.470151774,0.369824219,986.9714286,442.7428571,0
175,0.177142857,0.655454545,0.31,1491.069182,685.8238994,0.37203776,0.302734375,986.9714286,442.7428571,0
175,0.177142857,0.571818182,0.312727273,1697.515625,916.671875,0.48766276,0.383984375,986.9714286,442.7428571,0
175,0.177142857,0.434545455,0.413636364,1752.563025,856.6386555,0.468658447,0.407128906,986.9714286,442.7428571,0
175,0.177142857,0.655454545,0.31,1581.432749,649.128655,0.400728353,0.360253906,986.9714286,442.7428571,0
175,0.177142857,0.571818182,0.312727273,1839.477273,865.0151515,0.481610107,0.399902344,986.9714286,442.7428571,0
175,0.177142857,0.592727273,0.282727273,3405.291667,1589.416667,0.3921875,0.586035156,986.9714286,442.7428571,1
175,0.177142857,0.518181818,0.306363636,2419.890244,1183.780488,0.429187012,0.587695313,986.9714286,442.7428571,1
175,0.177142857,0.573636364,0.282727273,3094.565217,1226.891304,0.314341227,0.575976563,986.9714286,442.7428571,1
175,0.177142857,0.514545455,0.305454545,2502.05,832.9166667,0.379998779,0.586621094,986.9714286,442.7428571,1
175,0.177142857,0.4,0.378181818,2500.54321,1182.888889,0.460642497,0.554199219,986.9714286,442.7428571,1
175,0.177142857,0.394545455,0.377272727,3810.831169,1378.896104,0.446264648,0.579492188,986.9714286,442.7428571,1
206,0.17961165,0.453846154,0.377692308,1785.643939,1035.992424,0.497235107,0.387890625,983.5339806,445.9029126,0
206,0.17961165,0.669230769,0.287692308,1314.175532,616.643617,0.383817546,0.333886719,983.5339806,445.9029126,0
206,0.17961165,0.593076923,0.292307692,1757.426752,1028.605096,0.518105062,0.391210938,983.5339806,445.9029126,1
206,0.17961165,0.453846154,0.377692308,1898.169014,952.2887324,0.498394775,0.421582031,983.5339806,445.9029126,0
206,0.17961165,0.669230769,0.287692308,1715.79602,661.6218905,0.41872762,0.404296875,983.5339806,445.9029126,0
206,0.17961165,0.593076923,0.292307692,1638.312102,754.7388535,0.513210042,0.438769531,983.5339806,445.9029126,1
206,0.17961165,0.620769231,0.270769231,3616,1492.186813,0.370861816,0.596386719,983.5339806,445.9029126,1
206,0.17961165,0.536923077,0.294615385,2937.76699,1400.495146,0.421327718,0.611523438,983.5339806,445.9029126,1
206,0.17961165,0.591538462,0.264615385,3110.076923,1111.615385,0.29060262,0.598828125,983.5339806,445.9029126,1
206,0.17961165,0.531538462,0.295384615,2989,988.9220779,0.385957845,0.595800781,983.5339806,445.9029126,1
